,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,Linear,RandomForest,GBR,DecisionTree,XGB
5933,-117.82,34.13,27,3770,573.0,1606,562,6.1321,309700,INLAND,254084.09,258651.0,277614.51,314628.57,264124.0
12452,-114.57,33.57,20,1454,326.0,624,262,1.925,65500,INLAND,17866.53,58455.0,86992.62,63440.35,64969.68
6691,-118.08,34.13,46,1238,147.0,377,145,8.4546,500001,INLAND,370763.11,460594.45,421550.85,449810.3,466033.19
5988,-117.72,34.1,32,3241,895.0,1592,810,2.4952,181800,INLAND,156607.11,142237.0,159945.68,116860.0,167971.56
7516,-118.25,33.91,36,1950,365.0,1125,374,3.1111,119300,<1H OCEAN,200368.01,136999.0,176604.07,190835.07,154918.02
20539,-121.71,38.56,20,8627,1516.0,4071,1466,4.2198,164100,INLAND,177419.9,188162.0,160495.07,163773.72,173657.59
1361,-122.02,38.02,44,1465,247.0,817,237,4.8693,156900,NEAR BAY,265025.46,191268.0,222864.23,178314.29,168209.52
18246,-122.08,37.39,4,2292,,1050,584,4.8036,340000,NEAR BAY,262017.04,263374.05,259444.85,255593.96,300695.16
14020,-117.16,32.74,27,2335,604.0,982,590,3.1921,261500,NEAR OCEAN,233075.49,242514.05,241571.23,192855.36,231608.61
3663,-118.37,34.24,40,1283,246.0,594,236,4.1121,229200,<1H OCEAN,243409.42,220940.0,271562.18,226591.39,214006.77
4989,-118.31,34.0,47,1551,362.0,1329,322,1.9792,116400,<1H OCEAN,157559.28,135699.0,167174.11,114761.98,108605.47
9613,-120.48,37.29,17,2266,693.0,3200,664,1.5635,60400,INLAND,17318.54,98129.0,66247.0,105746.91,62858.72
9306,-122.54,37.99,32,2236,348.0,818,330,7.3521,444000,NEAR BAY,373878.32,396409.24,410787.66,461740.4,392227.47
14692,-117.11,32.79,16,2574,771.0,1129,721,3.3849,96900,NEAR OCEAN,240044.32,167939.01,207011.85,226409.52,151660.53
4757,-118.34,34.04,35,2345,607.0,2042,565,2.5955,139700,<1H OCEAN,172448.0,275375.03,228778.97,295934.69,271569.06
17400,-120.44,34.93,15,868,244.0,1133,253,2.0995,87500,<1H OCEAN,157604.63,125656.0,134279.39,187412.12,106737.23
3588,-118.54,34.23,29,1753,342.0,1318,333,4.125,241400,<1H OCEAN,221438.46,189656.0,220168.44,226591.39,169672.83
15013,-117.05,32.76,37,4879,906.0,2076,871,3.6625,154800,NEAR OCEAN,247999.68,161187.0,185187.52,185325.0,203306.11
18519,-122.04,36.97,30,2695,424.0,1098,420,5.3972,362300,NEAR OCEAN,314763.31,352294.0,321642.01,315228.88,304592.28
9293,-122.53,38.01,27,3121,531.0,1318,489,5.4781,310900,NEAR BAY,295448.03,282291.0,283243.47,259418.32,307233.84
4086,-118.39,34.16,20,4084,1062.0,1637,987,3.2388,256300,<1H OCEAN,247122.29,253410.0,261790.18,236768.99,234428.17
4148,-118.2,34.12,52,1580,426.0,1462,406,3.3326,167600,<1H OCEAN,215348.85,237937.0,201853.99,216082.61,182541.92
16815,-122.43,37.64,42,4091,757.0,1861,771,4.207,272700,NEAR OCEAN,287455.31,301646.0,299394.01,255983.21,292225.34
13978,-116.88,34.08,52,3419,777.0,710,265,3.9028,128600,INLAND,196938.45,139261.0,233755.67,114912.5,199970.61
18226,-122.09,37.41,8,1480,414.0,856,445,2.8203,284100,NEAR BAY,187155.17,206750.0,210671.32,178946.55,234386.56
17591,-121.9,37.3,39,3627,666.0,1531,635,4.537,345900,<1H OCEAN,286457.99,281602.01,287794.29,255593.96,277199.88
19274,-122.78,38.44,14,4143,656.0,1569,629,3.9766,345300,<1H OCEAN,226944.69,207062.0,210473.92,189795.71,205954.23
9914,-122.31,38.34,19,4187,684.0,1827,605,4.5293,210400,NEAR BAY,230500.48,196408.0,204910.59,179700.0,215572.16
6048,-117.74,34.02,33,2318,464.0,1904,451,3.7454,116400,INLAND,147830.83,132689.0,147135.72,136219.72,134350.75
1498,-122.01,37.93,25,2652,335.0,1062,334,7.5898,330200,NEAR BAY,351819.8,417799.11,332079.93,372847.06,337667.31
20401,-118.85,34.21,29,2195,414.0,1360,401,3.4773,206700,<1H OCEAN,210892.94,202362.0,199108.3,208552.89,187235.02
9946,-122.37,38.33,29,1868,291.0,764,284,4.825,195100,NEAR BAY,254836.74,251947.01,220278.32,261234.29,272013.69
6845,-118.11,34.07,19,3215,907.0,3072,870,2.3393,202300,<1H OCEAN,138241.51,183714.0,177693.58,175678.05,172583.66
12953,-121.28,38.7,15,5828,1051.0,2868,1037,3.7813,143200,INLAND,134626.95,136033.0,139993.15,146201.42,125885.8
6824,-118.1,34.08,37,2894,659.0,1977,636,2.543,208100,<1H OCEAN,173711.28,193588.0,175420.64,179949.3,180447.25
9260,-120.07,36.96,32,1268,283.0,549,273,1.4511,65200,INLAND,73163.58,71257.0,89095.57,59816.16,80925.27
8399,-118.37,33.95,32,1067,286.0,1053,277,2.8438,181700,<1H OCEAN,181987.4,246444.01,249782.38,377310.82,247016.03
15640,-122.42,37.8,52,3823,1040.0,1830,977,4.2458,450000,NEAR BAY,323259.94,478383.79,426184.82,476439.84,461594.53
20497,-118.7,34.3,23,2831,406.0,1284,393,6.1383,244100,<1H OCEAN,301507.88,276053.0,288697.98,285827.16,275740.94
14793,-117.12,32.57,35,1450,256.0,930,286,2.6715,133300,NEAR OCEAN,185676.49,219944.01,155824.56,227805.56,148074.58
15643,-122.42,37.8,52,3067,870.0,2122,850,2.5603,287500,NEAR BAY,229395.3,337794.1,314833.51,397104.48,339919.0
3066,-119.25,35.78,27,1513,342.0,1346,323,2.7411,59800,INLAND,103856.95,75836.0,62136.23,82496.55,61816.88
3291,-122.66,39.02,16,3715,810.0,943,510,1.7446,109400,INLAND,110323.59,89997.0,103032.34,70391.67,87653.43
5472,-118.45,33.99,52,1010,244.0,573,242,4.1861,363200,<1H OCEAN,270044.67,398149.22,359552.94,378980.96,373067.97
13311,-117.61,34.08,12,4427,,2400,843,4.7147,158700,INLAND,157252.82,164575.0,190182.78,174972.86,161094.64
10100,-117.96,33.93,15,2014,419.0,839,390,4.7446,175400,<1H OCEAN,248376.57,208519.0,238405.8,190356.46,237123.09
2710,-115.73,32.8,44,472,81.0,206,57,2.2083,93800,INLAND,94021.63,67523.0,89355.13,78683.33,71785.94
6760,-118.12,34.1,34,2918,555.0,1435,568,4.2344,306300,<1H OCEAN,244870.14,262995.04,246871.82,267529.6,238713.14
11438,-117.96,33.65,18,3603,879.0,1549,756,4.0229,363100,<1H OCEAN,254069.71,256204.0,229426.56,250676.0,284238.31
3967,-118.57,34.2,33,1759,311.0,943,315,5.223,209200,<1H OCEAN,280797.8,249153.0,263040.35,259418.32,236118.2
2817,-119.02,35.41,41,2221,516.0,1106,473,1.97,51900,INLAND,120045.68,66892.0,80034.79,59816.16,65155.0
2979,-119.06,35.33,14,5264,1064.0,3278,1049,3.8117,82800,INLAND,150697.66,96708.0,122440.15,88206.77,86579.4
15772,-122.44,37.77,52,3505,745.0,1374,714,4.3667,500001,NEAR BAY,309155.78,480828.82,426089.41,476439.84,472528.44
14511,-117.15,32.91,14,1259,238.0,889,247,4.9464,174800,<1H OCEAN,238950.65,213777.01,211592.97,202551.35,183229.86
5913,-118.44,34.29,30,1632,401.0,1357,401,3.1588,160100,<1H OCEAN,188262.07,179364.0,196104.21,208552.89,175208.3
3251,-119.8,36.02,20,156,39.0,171,37,3.05,225000,INLAND,125280.78,90684.0,111541.92,88206.77,90028.12
2147,-119.77,36.78,36,3616,779.0,1994,786,2.5434,67300,INLAND,123313.98,79733.0,106282.71,72856.96,84820.27
5140,-118.28,33.97,38,1819,497.0,2110,499,1.6027,97300,<1H OCEAN,124732.34,118361.0,165007.46,114761.98,107968.22
5350,-118.4,34.05,26,4473,923.0,1518,805,5.0762,500001,<1H OCEAN,309382.83,469131.74,377322.4,294855.1,484005.91
867,-122.07,37.57,8,8647,1407.0,5019,1379,6.5615,318300,NEAR BAY,278369.54,346215.07,316241.53,397945.73,319959.97
20612,-121.56,39.08,26,1377,289.0,761,267,1.4934,48300,INLAND,45629.33,63629.0,73153.84,74278.15,66466.3
886,-121.98,37.54,17,5133,1375.0,3386,1339,3.1326,220800,<1H OCEAN,226008.94,200190.0,232303.16,236768.99,190783.48
9886,-122.29,38.3,52,144,54.0,89,48,1.0096,162500,NEAR BAY,128399.67,197354.03,147820.08,120507.89,163269.53
7831,-118.15,33.9,20,2850,737.0,1855,662,2.809,144600,<1H OCEAN,183231.24,159214.0,174719.11,137552.94,162755.34
18145,-122.04,37.34,28,3081,460.0,1260,461,7.5372,432600,<1H OCEAN,381190.14,447487.48,418501.51,463624.55,462080.44
3520,-118.49,34.27,34,4877,815.0,2521,781,5.5714,225900,<1H OCEAN,287007.17,276509.02,300037.16,294855.1,276613.09
14061,-117.12,32.74,46,1898,441.0,978,439,3.2708,155200,NEAR OCEAN,236263.52,301613.02,225403.93,389500.0,235657.11
2851,-118.95,35.38,35,2220,388.0,906,373,3.5938,95200,INLAND,167910.57,88850.0,122981.57,88206.77,103776.16
18217,-122.08,37.4,23,806,158.0,373,156,5.9291,284600,NEAR BAY,308547.88,317882.05,291603.7,285827.16,355963.25
7608,-118.26,33.88,40,519,102.0,330,95,3.0972,108500,<1H OCEAN,203206.31,156854.0,189972.96,190835.07,153309.89
2286,-119.76,36.79,32,2463,468.0,1261,486,3.3281,75100,INLAND,139125.72,99009.0,104323.69,127012.72,93518.4
7282,-118.25,33.98,39,1553,461.0,2271,437,1.7378,121900,<1H OCEAN,118535.91,119737.0,141101.55,114761.98,104254.4
2884,-118.98,35.38,24,1807,465.0,1460,410,1.4786,54800,INLAND,62957.96,50757.0,51728.83,59816.16,49982.5
3160,-118.92,35.13,29,1297,262.0,909,253,1.9236,106300,INLAND,88382.85,56720.0,52660.2,59816.16,56614.57
8107,-118.21,33.8,44,1387,280.0,984,302,4.25,143100,NEAR OCEAN,256012.93,208664.0,231820.18,313060.0,183339.36
5809,-118.27,34.15,7,2837,776.0,2287,736,3.008,229000,<1H OCEAN,165811.65,221632.01,180327.79,230800.0,189929.52
3250,-119.96,35.99,25,1047,270.0,1505,286,2.0976,47700,INLAND,78654.41,55334.0,42499.44,59816.16,51655.42
6371,-118.0,34.15,48,3436,673.0,1540,648,4.275,256800,INLAND,224848.66,265539.0,235546.49,389520.0,257842.28
16751,-122.46,37.71,45,1799,394.0,1436,389,3.65,239900,NEAR OCEAN,242093.25,307113.0,266692.49,340567.08,253465.12
12977,-121.32,38.67,31,2532,479.0,1396,467,4.0417,114500,INLAND,153710.73,118749.0,127443.89,146201.42,110803.27
7012,-118.07,33.96,30,928,230.0,913,214,2.6991,147100,<1H OCEAN,163490.47,165395.0,147068.57,172263.64,158747.84
15039,-117.0,32.77,35,2114,317.0,881,320,5.5,241400,<1H OCEAN,290132.21,217766.01,222476.09,230077.78,192910.44
905,-121.99,37.54,18,3584,715.0,1673,661,3.9444,240100,<1H OCEAN,236744.78,220471.0,244355.69,236768.99,224573.53
16403,-121.19,38.04,35,703,117.0,290,107,3.225,177100,INLAND,137360.36,141100.0,124750.23,127012.72,119211.72
3893,-118.56,34.21,13,8327,1849.0,4126,1773,3.7313,189800,<1H OCEAN,260693.77,233637.0,235359.35,236768.99,217471.42
15138,-116.92,32.82,16,2784,468.0,1458,465,4.0048,184600,<1H OCEAN,203726.87,162474.0,159163.55,161297.89,154526.7
262,-122.2,37.78,50,1867,403.0,1128,378,2.5401,129100,NEAR BAY,198229.31,143189.0,158089.9,178946.55,137131.39
15970,-122.41,37.71,28,5015,1240.0,3900,1029,1.2269,181900,NEAR BAY,116807.63,248489.12,244275.12,123260.0,233139.56
799,-122.07,37.64,22,5861,1516.0,5436,1463,2.5158,134900,NEAR BAY,142866.12,187239.0,180370.79,178946.55,166733.02
5217,-118.23,33.95,37,2667,671.0,2865,683,0.6831,87500,<1H OCEAN,80058.37,126628.05,193121.12,114761.98,141042.42
11571,-118.01,33.76,35,2072,349.0,1249,317,3.9855,191900,<1H OCEAN,220893.5,208765.0,186393.54,190356.46,201910.11
8989,-118.37,33.99,36,3228,543.0,1305,520,5.1695,397000,<1H OCEAN,292377.51,396817.18,360093.01,347335.08,382007.28
5175,-118.27,33.95,34,1261,315.0,1027,303,2.2946,88800,<1H OCEAN,163852.7,109299.0,139813.14,128692.59,130764.37
12895,-121.33,38.65,24,3533,741.0,1496,723,2.8106,183200,INLAND,126135.93,116365.0,129686.65,122125.81,116401.51
301,-122.18,37.76,52,754,175.0,447,165,3.9063,93800,NEAR BAY,253469.46,186775.0,242512.58,208552.89,172240.84
17999,-121.97,37.28,27,2427,403.0,1301,438,5.0385,277300,<1H OCEAN,277611.48,273989.0,257143.53,255593.96,248083.17
11977,-117.5,34.0,15,1929,317.0,1237,316,4.4063,128500,INLAND,155132.21,160922.0,152200.6,155895.71,147965.12
2592,-124.1,40.9,18,4032,798.0,1948,775,2.7321,92600,NEAR OCEAN,164962.25,95278.0,131138.67,91700.0,86746.66
12367,-116.43,33.81,8,6710,1343.0,2069,781,3.5223,115100,INLAND,139418.97,146093.0,130120.42,159988.92,181243.44
1034,-120.76,38.47,17,1521,309.0,607,240,3.5,123800,INLAND,113352.5,145887.0,143454.37,127012.72,145309.95
3747,-118.41,34.17,35,2027,428.0,879,402,4.692,330900,<1H OCEAN,273781.52,257564.0,267446.12,226591.39,273658.06
19293,-122.83,38.4,37,2217,451.0,1019,428,3.1217,178500,<1H OCEAN,221260.44,175725.0,193110.23,189795.71,189001.45
9145,-118.46,34.4,12,25957,4798.0,10475,4490,4.542,195300,<1H OCEAN,364219.34,257091.02,254324.15,226591.39,218833.72
628,-122.19,37.71,36,361,69.0,158,58,5.5461,262500,NEAR BAY,299611.97,283864.02,281197.9,259418.32,261951.36
9206,-119.91,37.23,17,2171,389.0,1042,375,3.625,94400,INLAND,123431.88,118169.0,122866.45,146201.42,116966.22
17587,-121.92,37.3,36,2088,358.0,772,347,4.2762,310100,<1H OCEAN,267027.94,279446.0,260673.98,255593.96,268483.62
15237,-117.26,32.95,22,5484,1227.0,1947,1012,4.4375,500001,NEAR OCEAN,296238.77,321886.04,287817.62,236830.79,332538.25
2928,-119.01,35.37,33,821,181.0,579,172,1.2469,46700,INLAND,65466.77,52540.0,63288.12,59816.16,56149.91
10489,-117.67,33.49,15,2782,579.0,983,525,2.1935,183300,<1H OCEAN,163389.74,186366.13,183448.24,166488.04,252686.36
3118,-117.81,35.65,19,1124,290.0,598,261,1.8984,54300,INLAND,48516.01,72635.97,74645.44,59816.16,91727.52
5506,-118.42,33.98,3,475,155.0,236,153,3.6667,450000,<1H OCEAN,198289.11,353641.1,297332.79,378980.96,342121.5
15864,-122.4,37.76,52,1495,311.0,506,275,4.4375,320000,NEAR BAY,291614.8,495100.94,383274.08,476439.84,452103.34
2225,-119.84,36.81,18,2789,378.0,937,364,7.7062,188300,INLAND,293174.23,246162.01,303114.4,242650.0,241996.06
16577,-121.43,37.75,42,1207,278.0,699,279,3.3611,117600,INLAND,169753.33,128700.0,111866.78,127012.72,122590.7
4179,-118.22,34.09,36,1427,415.0,1835,410,2.48,138900,<1H OCEAN,152350.26,187895.0,155458.79,187412.12,152981.41
14757,-117.04,32.55,15,2206,648.0,2511,648,1.6348,93200,NEAR OCEAN,112185.93,119435.0,103327.99,114181.82,96579.12
15482,-117.14,33.15,16,1129,198.0,758,178,5.0346,174600,<1H OCEAN,236036.23,238207.04,216503.48,202551.35,187480.8
6266,-117.94,34.04,36,1431,354.0,1367,334,3.5592,160200,<1H OCEAN,196247.99,170863.0,191560.03,190356.46,169118.62
9101,-117.93,34.57,5,5613,1060.0,3569,999,3.1946,132700,INLAND,90161.02,134609.0,125268.1,155300.0,104236.98
3793,-118.37,34.16,25,2450,618.0,1054,578,3.6375,262500,<1H OCEAN,237582.9,268603.03,272983.26,208552.89,275114.38
13954,-117.1,34.21,22,4397,931.0,1145,445,4.5268,108400,INLAND,194202.48,140400.0,186128.41,136386.36,196110.73
18786,-122.42,40.44,16,994,,495,181,2.1875,76400,INLAND,65625.15,84948.0,115314.43,75941.67,76810.34
12555,-121.47,38.54,47,2085,464.0,1346,402,1.2679,56700,INLAND,67657.62,83262.0,70309.53,74278.15,72267.07
6796,-118.14,34.08,30,1433,397.0,1110,346,2.3464,191700,<1H OCEAN,159507.96,173147.0,169171.58,164853.33,153843.16
3668,-118.39,34.23,18,3405,831.0,3001,795,3.0083,181900,<1H OCEAN,158184.28,177186.0,195074.82,207895.74,155245.92
12833,-121.41,38.69,28,1601,308.0,848,305,3.6429,105200,INLAND,137896.66,105373.0,124642.35,146201.42,114794.21
9468,-123.8,39.44,33,2024,459.0,1019,422,1.9208,93600,<1H OCEAN,169966.34,99409.0,107108.02,100792.31,84749.46
10527,-117.71,33.54,7,4907,577.0,1883,556,10.4415,453800,<1H OCEAN,438184.43,489091.75,440423.36,370314.29,453184.53
12534,-121.5,38.56,46,2646,645.0,1684,616,1.128,123100,INLAND,73760.54,85710.0,87478.49,90980.88,77221.73
14392,-117.24,32.75,36,2831,669.0,1279,660,2.9896,252700,NEAR OCEAN,233049.88,269687.05,227835.48,277953.85,259876.52
7656,-118.26,33.82,28,5091,1074.0,4753,1033,3.6477,117400,<1H OCEAN,162751.37,247419.0,213705.57,274732.69,228861.28
11406,-117.95,33.71,16,6058,1715.0,3285,1495,3.4133,290900,<1H OCEAN,259929.68,194472.0,217965.67,190356.46,207718.59
14394,-117.24,32.75,41,1989,514.0,1015,489,2.79,226000,NEAR OCEAN,221520.19,272420.0,225210.71,319600.0,238944.2
16336,-121.35,38.04,12,6217,1019.0,3771,961,3.7206,146000,INLAND,105368.5,130605.0,133510.27,146201.42,116028.94
12055,-117.57,33.88,39,679,164.0,769,179,2.3036,110600,INLAND,106222.61,133432.0,92680.78,116860.0,104507.23
14550,-117.24,32.94,12,2165,437.0,792,386,5.2648,294400,NEAR OCEAN,277301.35,276070.04,308191.38,308800.0,290659.28
19690,-121.63,39.12,34,1991,348.0,804,344,3.4492,98800,INLAND,137076.28,122166.0,120244.71,127012.72,106868.12
11222,-117.9,33.8,27,2176,442.0,1440,418,4.375,212500,<1H OCEAN,229445.39,195187.0,198898.38,190356.46,202212.97
18982,-122.01,38.26,12,4132,710.0,2087,633,4.5987,139700,INLAND,178518.67,166053.0,152038.75,156793.75,161356.94
3859,-118.44,34.17,29,2685,642.0,1085,599,3.2763,279400,<1H OCEAN,230293.35,246441.02,259212.19,236768.99,268243.28
10151,-117.92,33.9,13,1814,320.0,1010,313,6.3489,337900,<1H OCEAN,291438.49,288612.01,279948.81,285827.16,273898.62
9332,-122.64,38.01,36,1336,258.0,678,249,5.5789,292000,NEAR OCEAN,315936.5,370254.03,296065.43,423066.94,281941.31
2475,-119.97,36.44,18,1128,237.0,772,220,2.1771,39200,INLAND,82625.95,68667.0,58744.26,59816.16,69123.77
11286,-117.95,33.79,34,2912,520.0,1625,501,4.4667,190600,<1H OCEAN,243362.49,203633.0,207078.14,190356.46,216553.95
11620,-118.05,33.84,21,4890,653.0,2295,654,6.983,329700,<1H OCEAN,316033.96,346199.02,324111.93,341611.11,333468.09
16263,-121.26,37.95,44,819,184.0,677,183,1.725,59300,INLAND,87581.34,76120.0,75275.78,100820.48,62728.9
9675,-118.96,37.64,11,3934,697.0,901,345,4.2381,242700,INLAND,121343.71,140181.0,163695.18,145900.0,152111.61
19704,-121.64,39.11,18,3212,542.0,1817,508,3.3793,92900,INLAND,99646.42,114201.0,106369.55,127012.72,102194.3
14073,-117.12,32.76,28,2160,608.0,1339,571,1.9152,128100,NEAR OCEAN,169088.1,150749.0,158331.09,125689.25,140745.67
15131,-116.92,32.86,11,2204,518.0,1472,497,2.3693,127000,<1H OCEAN,140646.14,124821.0,115360.7,128889.29,118466.38
20445,-118.83,34.33,6,6679,1164.0,3196,1157,5.4493,242600,<1H OCEAN,276626.36,275465.02,270891.3,294855.1,267425.88
15785,-122.39,37.78,3,3464,1179.0,1441,919,4.7105,275000,NEAR BAY,308828.54,315485.23,343524.03,226150.0,287387.5
14374,-117.25,32.73,38,1840,291.0,633,283,4.9125,383600,NEAR OCEAN,287561.96,411744.25,312719.35,403893.28,361473.16
16635,-120.84,35.3,15,2062,327.0,781,316,4.9359,317700,NEAR OCEAN,291533.59,260980.01,280135.38,255593.96,251643.58
11426,-117.98,33.7,17,1997,340.0,952,341,4.4148,239200,<1H OCEAN,231205.5,216578.0,212792.1,190356.46,243603.5
523,-122.24,37.77,52,1153,235.0,481,223,2.6411,241000,NEAR BAY,210292.52,175189.01,189413.3,178946.55,196348.62
12876,-121.36,38.66,22,2878,599.0,1362,541,2.7955,96500,INLAND,109302.31,120348.0,106267.43,122125.81,115257.87
9375,-122.5,37.92,32,2639,415.0,1013,408,6.1632,349200,NEAR BAY,329053.35,391153.11,349449.14,366783.25,392988.41
19657,-120.84,37.48,10,2874,612.0,1960,596,2.7381,104600,INLAND,93104.29,112151.0,104392.55,104445.9,111044.37
8510,-118.31,33.88,21,1490,430.0,686,400,2.3812,237500,<1H OCEAN,181957.48,199046.02,210461.24,128692.59,182358.38
9040,-118.09,34.68,4,23386,4171.0,10493,3671,4.0211,144000,INLAND,189096.47,139658.0,127686.91,155300.0,131101.75
3077,-119.23,35.77,26,2636,468.0,1416,485,4.1917,84000,INLAND,171890.1,90107.0,126304.57,104696.36,92933.2
5841,-118.32,34.19,37,1519,331.0,613,315,3.0179,272500,<1H OCEAN,206687.31,212655.0,232659.21,207895.74,224958.56
3882,-118.52,34.22,35,1275,222.0,959,226,5.0282,195400,<1H OCEAN,262773.49,214256.02,243868.91,226591.39,204767.45
4267,-118.3,34.1,25,3926,1715.0,4865,1612,1.6112,262500,<1H OCEAN,157918.63,244977.06,208026.28,238315.38,187699.69
9773,-121.25,36.32,12,4776,1082.0,4601,1066,2.9184,100500,<1H OCEAN,142124.51,154765.0,209386.32,178946.55,161644.05
7739,-118.15,33.94,36,1948,341.0,992,363,4.2594,242400,<1H OCEAN,244529.1,188522.0,208090.13,154055.96,202298.06
11972,-117.43,34.01,34,2101,426.0,1150,377,3.0909,98300,INLAND,136053.2,109365.0,120315.71,114912.5,123034.8
9399,-122.56,37.9,48,1550,253.0,641,276,8.634,463500,NEAR BAY,443670.55,468079.61,459333.38,482117.17,473917.31
19673,-120.84,37.51,20,1901,313.0,1258,320,3.8958,126800,INLAND,139116.52,154345.0,131238.12,146201.42,141215.98
4590,-118.28,34.06,52,936,454.0,990,354,1.1122,187500,<1H OCEAN,150054.4,235326.01,203194.89,187412.12,178439.11
20307,-119.17,34.15,18,2509,688.0,3129,677,2.6098,146100,NEAR OCEAN,150202.45,197315.0,199777.15,223077.8,177658.0
18147,-122.04,37.35,28,1582,264.0,696,270,5.678,370100,<1H OCEAN,308503.18,305118.02,319391.02,259418.32,352753.84
466,-122.28,37.87,52,1813,353.0,828,339,3.5625,191700,NEAR BAY,245487.74,215184.0,231342.82,208552.89,207288.42
7781,-118.06,33.91,24,4880,1044.0,4516,1050,4.1387,157700,<1H OCEAN,178892.27,201746.0,217771.83,190356.46,212102.53
4067,-118.47,34.15,43,804,117.0,267,110,8.2269,500001,<1H OCEAN,409603.92,485973.79,449138.3,498312.46,462922.09
8900,-118.48,34.04,47,1956,277.0,724,277,8.9616,500001,<1H OCEAN,446627.64,498623.98,512055.58,498312.46,516169.94
14158,-117.08,32.76,27,1221,254.0,606,259,3.0833,155400,NEAR OCEAN,198051.78,156152.0,167992.88,159080.0,156401.8
20501,-118.71,34.3,20,1586,187.0,699,209,6.5483,335000,<1H OCEAN,313780.22,319400.06,308383.2,326551.91,292940.16
4520,-118.2,34.04,18,796,227.0,547,218,1.0333,135400,<1H OCEAN,100535.16,234770.02,174629.87,187412.12,158844.55
1539,-122.04,37.88,32,3250,550.0,1230,557,4.6424,312700,NEAR BAY,267180.45,269721.01,232907.86,255593.96,265142.34
10330,-117.76,33.83,15,3086,457.0,1262,436,6.4415,300700,<1H OCEAN,297929.03,308287.01,294554.88,285827.16,291712.81
12170,-117.11,33.74,18,4799,1035.0,1966,944,2.1182,71300,INLAND,118035.79,107865.0,113122.45,85332.9,123229.35
126,-122.22,37.84,50,2935,473.0,1031,479,7.5,295200,NEAR BAY,402650.6,390061.06,402141.69,374753.85,374977.03
2697,-115.37,32.82,30,1602,322.0,1130,335,3.5735,71100,INLAND,119375.96,87608.0,96759.02,81606.67,82428.58
6669,-118.11,34.16,52,3158,459.0,1229,444,5.4223,325600,INLAND,260803.13,269578.01,278533.57,180266.67,291142.25
13975,-116.76,34.23,10,4374,989.0,1020,376,2.6071,89000,INLAND,99956.24,100486.0,104883.87,113520.0,108288.41
18311,-122.12,37.42,36,2607,551.0,1165,523,5.1524,373100,NEAR BAY,308116.53,330162.08,308033.74,259418.32,335592.16
14412,-117.23,32.78,35,1649,355.0,746,360,4.6293,356500,NEAR OCEAN,277769.24,347261.11,283440.52,403893.28,280096.66
3837,-118.44,34.19,19,3487,959.0,2278,835,2.6709,215500,<1H OCEAN,185798.85,209603.0,208225.9,207895.74,193846.14
19534,-120.9,37.64,26,1762,418.0,855,308,1.6767,81300,INLAND,78294.43,93593.0,89982.66,74278.15,100496.67
13674,-117.27,34.05,34,1703,395.0,849,359,3.1607,138200,INLAND,142933.97,96064.0,143269.72,114912.5,119556.44
9643,-120.85,37.06,31,2609,645.0,1796,629,1.5479,82000,INLAND,91809.94,75547.0,90890.11,108371.43,80507.98
14975,-116.99,32.7,15,3660,622.0,2629,612,4.0444,150100,NEAR OCEAN,186803.62,138035.0,158735.21,126661.36,127743.39
20587,-121.6,39.15,19,1396,336.0,940,309,1.5208,70300,INLAND,37836.04,95488.0,73631.41,152664.29,83205.25
13842,-117.32,34.55,18,279,59.0,188,60,0.8246,91700,INLAND,9326.0,97831.01,78028.1,85332.9,126799.75
12634,-121.47,38.49,17,3595,790.0,2760,770,2.3233,78800,INLAND,67217.04,99508.0,89858.27,122125.81,93715.62
3622,-118.45,34.23,15,5738,1767.0,4620,1581,2.3584,157600,<1H OCEAN,179511.36,193453.01,194807.26,238315.38,162078.62
6746,-118.08,34.12,27,1685,341.0,757,317,4.2434,270500,<1H OCEAN,234163.92,268394.01,245880.08,267529.6,263751.91
10094,-117.96,33.94,31,2397,518.0,1407,476,2.6641,185200,<1H OCEAN,174098.24,177532.0,154447.78,172263.64,164007.77
6862,-118.14,34.06,27,5257,1082.0,3496,1036,3.3906,237200,<1H OCEAN,188354.03,205203.0,222233.48,154055.96,206522.0
20372,-118.88,34.17,15,4260,,1701,669,5.1033,410700,<1H OCEAN,260843.96,267211.0,260066.76,259418.32,267732.72
12175,-117.23,33.77,5,2108,496.0,1666,461,2.0,83000,INLAND,54209.52,98565.0,80026.66,85332.9,106158.72
11102,-117.88,33.85,26,3924,781.0,2332,725,3.7772,223900,<1H OCEAN,207206.41,191886.0,201833.6,190356.46,207704.02
16371,-121.3,38.03,13,1014,200.0,712,197,3.1471,102800,INLAND,108661.84,130937.0,102734.95,127012.72,113746.08
6303,-117.9,33.99,18,8076,1789.0,5325,1707,3.443,171900,<1H OCEAN,191476.09,182398.0,211839.58,190356.46,200196.08
14384,-117.24,32.74,44,1488,259.0,667,281,4.0862,321800,NEAR OCEAN,259137.13,348829.07,251478.31,403893.28,288158.53
2554,-124.18,40.78,33,1076,222.0,656,236,2.5096,72200,NEAR OCEAN,161244.16,77124.0,76538.51,77637.04,48732.46
7772,-118.1,33.91,35,1592,335.0,1238,320,4.9732,165000,<1H OCEAN,259962.1,219853.0,222962.29,217782.32,191156.61
576,-122.06,37.77,12,14316,2045.0,5781,2007,7.2634,341600,NEAR BAY,339593.68,359573.08,332459.38,372847.06,358190.88
